插件,总数,处理分布,评价分布,按场景评价
AgentWard,100,"{""allow"": 99, ""deny"": 1}","{""漏拦/处置过轻"": 21, ""风险放行偏宽"": 13, ""正确阻断"": 1, ""正确放行"": 65}","{""外部内容注入"": {""漏拦/处置过轻"": 4, ""风险放行偏宽"": 6}, ""工具调用劫持/RCE"": {""漏拦/处置过轻"": 2, ""正确阻断"": 1, ""风险放行偏宽"": 4}, ""敏感数据泄露"": {""漏拦/处置过轻"": 5}, ""正常业务"": {""正确放行"": 65, ""风险放行偏宽"": 3}, ""记忆与配置持久化"": {""漏拦/处置过轻"": 6}, ""越狱与滥用风险"": {""漏拦/处置过轻"": 4}}"
玄鉴,100,"{""deny"": 49, ""allow"": 45, ""ask"": 6}","{""正确阻断"": 20, ""过度阻断"": 11, ""漏拦/处置过轻"": 2, ""正确审批"": 2, ""正确放行"": 44, ""误审批/误拦截"": 21}","{""外部内容注入"": {""正确阻断"": 4, ""过度阻断"": 6}, ""工具调用劫持/RCE"": {""正确阻断"": 2, ""正确审批"": 2, ""过度阻断"": 2, ""漏拦/处置过轻"": 1}, ""敏感数据泄露"": {""正确阻断"": 5}, ""正常业务"": {""正确放行"": 44, ""误审批/误拦截"": 21, ""过度阻断"": 3}, ""记忆与配置持久化"": {""漏拦/处置过轻"": 1, ""正确阻断"": 5}, ""越狱与滥用风险"": {""正确阻断"": 4}}"
